ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
25060940TADD6H,Tertunda,203138322291628,2025-06-09 10:18:42,,2025-06-09 10:18:14,AKAP.id558,533457929,Preferred(Non-CB),18126079925,COD Nokia 216 Mobile Phone dual SIM HP murah jadul Garansi Toko,191354005874,Normal Product,,Handphone & Aksesoris,Handphone,,158000,1,Komisi XTRA,,150100,,1.00%,1501,1.00%,1501,3002,1501,1501,3002,,0,0.00%,0,100.00%,3002,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506093WEPPG9H,Tertunda,203134711295432,2025-06-09 09:18:31,,2025-06-07 06:00:48,Yoi-shop,489639161,Preferred(Non-CB),27365109391,Yoi - Rak Pengering Mangkok Air / Rak Piring Plastik Dengan Tutup / Tempat Alat Makan Mangkok Sendok / Sendok Rak Dapur,149108789904,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Rak Dapur,35600,1,Komisi XTRA,,35600,,1.00%,356,6.00%,2136,2492,356,2136,2492,,0,0.00%,0,100.00%,2492,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506093JD65P0H,Tertunda,203122849258329,2025-06-09 06:00:50,,2025-06-09 04:36:24,NBDD68,533457811,Preferred(Non-CB),22030816521,hp nokia jadul 105 19 garansi bisa Indonesia Dual Sim,231193123697,Normal Product,,Handphone & Aksesoris,Handphone,,99218,1,Komisi XTRA,,89218,,1.00%,892.18,3.00%,2676.54,3568.72,892.18,2676.54,3568.72,,0,0.00%,0,100.00%,3568.72,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506093GYTN2UY,Tertunda,203121327229815,2025-06-09 05:35:26,,2025-06-09 05:34:33,mss_sugar,1219971071,Preferred(Non-CB),24272603983,HP Nokia 150 2023 2.4 inches dual card Ponsel lengkap baru,197415949261,Normal Product,,Handphone & Aksesoris,Handphone,,209800,1,Komisi XTRA,,197316,,1.00%,1973.16,4.00%,7892.64,9865.8,1973.16,7892.64,9865.8,,0,0.00%,0,100.00%,9865.8,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
25060938HUAC3B,Tertunda,203112268226862,2025-06-09 03:04:28,,2025-06-09 03:03:39,Chosmo Mall,460890067,Preferred(Non-CB),13611502535,Rak Cuci Piring Rak Dapur Rak Pengering Piring 2/3 Susun Muat Mangkuk,103732903034,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Rak Dapur,266400,1,Komisi XTRA,,224580,,0.00%,0,3.00%,6737.4,6737.4,0,6737.4,6737.4,,0,0.00%,0,100.00%,6737.4,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
25060827A4RV35,Tertunda,203076576225261,2025-06-08 17:09:36,,2025-06-08 17:09:17,Yoi-shop,489639161,Preferred(Non-CB),27365109391,Yoi - Rak Pengering Mangkok Air / Rak Piring Plastik Dengan Tutup / Tempat Alat Makan Mangkok Sendok / Sendok Rak Dapur,158847257636,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Rak Dapur,34899,1,Komisi XTRA,,34899,,1.00%,348.99,6.00%,2093.94,2442.93,348.99,2093.94,2442.93,,0,0.00%,0,100.00%,2442.93,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
25060822KHVM0P,Tertunda,203071523254561,2025-06-08 15:45:24,,2025-06-08 15:44:02,1688.shopp,143273445,Preferred(Non-CB),21301325895,VIVO Y66 RAM 4/64 GB 4GLTE termurah,217614131340,Normal Product,,Handphone & Aksesoris,Handphone,,328000,1,Komisi XTRA,,295200,,1.00%,2952,3.00%,8856,11808,2952,8856,11808,,0,0.00%,0,100.00%,11808,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081MXCDN4B,Tertunda,203056854232706,2025-06-08 11:40:54,,2025-06-08 11:29:00,GM Bear Official Shop,149205613,Shopee Mall(Non-CB),2874434234,GM Bear Panci Wajan Set isi 3pcs P0220 - Arria Panci Penggorengan Set,114878040917,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Penggorengan,109900,1,Komisi XTRA,,98820,,0.00%,0,1.00%,988.2,988.2,0,988.2,988.2,,0,0.00%,0,100.00%,988.2,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081M2Y1YD1,Tertunda,203055934254128,2025-06-08 11:25:35,,2025-06-08 11:24:44,NBDD68,533457811,Preferred(Non-CB),19695818988,nokia 130 2023 HANDPHONE murah Mobile Phone 2 SIM,197203896914,Normal Product,,Handphone & Aksesoris,Handphone,,149776,1,Komisi XTRA,,132102,,1.00%,1321.02,3.00%,3963.06,5284.08,1321.02,3963.06,5284.08,,0,0.00%,0,100.00%,5284.08,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081JBRVQG1,Tertunda,203054082299085,2025-06-08 10:54:42,,2025-06-08 10:30:12,Edisan Selular,16140427,Preferred(Non-CB),2111063607,Samsung Galaxy A06 [4GB+64GB] [4GB+128GB] Garansi Resmi 1 Tahun,214907955495,Normal Product,,Handphone & Aksesoris,Handphone,,1579999,1,Komisi XTRA,,1421999,,0.00%,0,0.60%,8531.994,8531.994,0,8531.994,8531.994,,0,0.00%,0,100.00%,8531.994,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081J40WJV1,Selesai,203053822270555,2025-06-08 10:50:22,2025-06-09 19:45:47,2025-06-08 10:49:36,Namo Gift,1074844475,Preferred(Non-CB),27880394548,Namo Gift - 6 PCS Piring dan Mangkuk Makan Keramik Putih List Hitam Elegant/ Set Piring Mangkuk Keramik Putih Style Diamond Patt,234166413799,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,98000,1,Komisi XTRA,,93100,,1.00%,931,7.00%,6517,7448,931,6517,7448,,0,0.00%,0,100.00%,7448,Selesai,,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081HFW6MGM,Tertunda,203053147293393,2025-06-08 10:39:07,,2025-06-08 10:37:58,Namo Gift,1074844475,Preferred(Non-CB),27880394548,Namo Gift - 6 PCS Piring dan Mangkuk Makan Keramik Putih List Hitam Elegant/ Set Piring Mangkuk Keramik Putih Style Diamond Patt,234166413799,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,98000,2,Komisi XTRA,,186200,,1.00%,1862,7.00%,13034,14896,1862,13034,14896,,0,0.00%,0,100.00%,14896,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081EQPAH94,Selesai,203050187285450,2025-06-08 09:49:48,2025-06-09 19:37:31,2025-06-08 09:30:02,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),24242576618,[Medan Ready Stock] Eatkit Botol Saus Saos / Botol Sauce Mayonaise Kecap Cuka Serbaguna,215872082068,Normal Product,334000908669217_0_0,Koper & Tas Travel,Aksesoris Travel,Botol & Wadah Isi Ulang,0,1,Komisi XTRA,,0,,0.00%,0,3.00%,0,0,0,3085.41,3085.41,,0,0.00%,0,100.00%,3085.41,Selesai,,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081EQPAH94,Selesai,203050187285450,2025-06-08 09:49:48,2025-06-09 19:37:31,2025-06-08 09:30:02,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),24276022250,[Medan Ready Stock] Eatkit Hampers Mangkok Set | Hampers Keramik Gaya Porselen Biru Dan Putih Gift Set | Mangkok Set Souvenir Bo,69883675932,Normal Product,334000908669217_0_0,Perlengkapan Rumah,Peralatan Makan,Mangkuk,40999,1,Komisi XTRA,,34562,,0.00%,0,3.00%,1036.86,1036.86,0,0,0,,0,0.00%,0,100.00%,0,Selesai,,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081EQPAH94,Selesai,203050187285450,2025-06-08 09:49:48,2025-06-09 19:37:31,2025-06-08 09:30:02,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),24276022250,[Medan Ready Stock] Eatkit Hampers Mangkok Set | Hampers Keramik Gaya Porselen Biru Dan Putih Gift Set | Mangkok Set Souvenir Bo,208448897688,Normal Product,334000908669217_0_0,Perlengkapan Rumah,Peralatan Makan,Mangkuk,39999,1,Komisi XTRA,,33723,,0.00%,0,3.00%,1011.69,1011.69,0,0,0,,0,0.00%,0,100.00%,0,Selesai,,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081EQPAH94,Selesai,203050187285450,2025-06-08 09:49:48,2025-06-09 19:37:31,2025-06-08 09:30:02,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),24276022250,[Medan Ready Stock] Eatkit Hampers Mangkok Set | Hampers Keramik Gaya Porselen Biru Dan Putih Gift Set | Mangkok Set Souvenir Bo,305264379218,Normal Product,334000908669217_0_0,Perlengkapan Rumah,Peralatan Makan,Mangkuk,40999,1,Komisi XTRA,,34562,,0.00%,0,3.00%,1036.86,1036.86,0,0,0,,0,0.00%,0,100.00%,0,Selesai,,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506081CGC4B8U,Tertunda,203047794237456,2025-06-08 09:09:54,,2025-06-08 08:54:02,Livits Home,615755982,Preferred(Non-CB),25426219640,Dekorasi Nampan Tray Mewah/Nampan Dengan Pegangan Handle Gold/Snack Fruit Tray,139170187461,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Tatakan Piring & Gelas,28900,12,Komisi XTRA,,319055,,0.00%,0,5.00%,15952.75,15952.75,0,15952.75,15952.75,,0,0.00%,0,100.00%,15952.75,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080RW611XT,Tertunda,203026749208802,2025-06-08 03:19:08,,2025-06-08 03:09:44,Metaphone,580042244,Preferred(Non-CB),16198340909,Grosir Oppo A1K Minus Lcd Mesin Normal Segel Baterai ada,139339539140,Normal Product,,Handphone & Aksesoris,Handphone,,155000,1,Komisi XTRA,,139500,,1.00%,1395,2.00%,2790,4185,1395,2790,4185,,0,0.00%,0,100.00%,4185,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080PFJPJ18,Tertunda,203024145259187,2025-06-08 02:35:45,,2025-06-08 02:31:49,MACHO.STORE.ID,589923440,Preferred(Non-CB),11184343585,PAKET PIRING MAKAN MELAMIN ISI 12 PCS UKURAN 9inch dan 10INCH / 1 LUSIN ATAU 12PCS PIRING MELAMIN PETAK CEPER SNI ASLI,86706715668,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,133000,1,Komisi XTRA,,126350,,0.00%,0,4.00%,5054,5054,0,5054,5054,,0,0.00%,0,100.00%,5054,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080HRCNY73,Tertunda,203019072221794,2025-06-08 01:11:12,,2025-06-08 01:09:36,sscjayashop,41646443,Preferred(Non-CB),18790093174,Paket hemat piring crystal isi 12 pcs berat 1 kg,146907474923,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,23999,1,Komisi XTRA,,23499,,5.00%,1174.95,10.00%,2349.9,3524.85,1174.95,2349.9,3524.85,,0,0.00%,0,100.00%,3524.85,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080H5D82JN,Dibatalkan,203018435276695,2025-06-08 01:00:35,--,2025-06-08 00:25:49,TAQARRUB MARKET,125368431,C2C(Non-CB),4320569240,Bubble Wrap,71283748263,Normal Product,,Buku & Alat Tulis,Pembungkus Kado & Kemasan,Bubble Wrap,2000,0,Komisi XTRA,,0,1800,0.00%,0,1.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Dibatalkan,Pembeli membatalkan pesanan.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080H5D82JN,Dibatalkan,203018435276695,2025-06-08 01:00:35,--,2025-06-08 00:25:49,TAQARRUB MARKET,125368431,C2C(Non-CB),10642660199,Stiker Fragile Jangan Dibanting Sticker Fragile pengaman,112101965677,Normal Product,,Buku & Alat Tulis,Buku Tulis & Kertas,Label & Stiker,500,0,Komisi XTRA,,0,450,0.00%,0,1.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Dibatalkan,Pembeli membatalkan pesanan.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080H5D82JN,Dibatalkan,203018435276695,2025-06-08 01:00:35,--,2025-06-08 00:25:49,TAQARRUB MARKET,125368431,C2C(Non-CB),16891554651,Gantungan Kunci Ka'bah Ganci Ka'bah Ganci Madinah Oleh-Oleh Haji Oleh-Oleh Umroh Ganci Olhaj.,230553888005,Normal Product,,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,700,0,Komisi XTRA,,0,12600,0.00%,0,1.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Dibatalkan,Pembeli membatalkan pesanan.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506080H5D82JN,Dibatalkan,203018435276695,2025-06-08 01:00:35,--,2025-06-08 00:25:49,TAQARRUB MARKET,125368431,C2C(Non-CB),25233993060,DOUBLE SAFETY!!! Paket Teko Stainless Cucing Nampan Haji Umroh Arab Gelas air Zam zam Emas,256267587996,Normal Product,,Perlengkapan Rumah,Peralatan Makan,"Jug, Pitcher, & Aksesoris",120400,0,Komisi XTRA,,0,216720,0.00%,0,1.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Dibatalkan,Pembeli membatalkan pesanan.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
25060704HTH337,Tertunda,203004893217151,2025-06-07 21:14:53,,2025-06-07 21:13:48,NBDD68,533457811,Preferred(Non-CB),19695818988,nokia 130 2023 HANDPHONE murah Mobile Phone 2 SIM,197203896912,Normal Product,,Handphone & Aksesoris,Handphone,,158913,1,Komisi XTRA,,137045,,1.00%,1370.45,3.00%,4111.35,5481.8,1370.45,4111.35,5481.8,,0,0.00%,0,100.00%,5481.8,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
250607W07SNBK0,Tertunda,202996694208671,2025-06-07 18:58:14,,2025-06-07 18:54:13,Jc_phonestore,907321252,C2C(Non-CB),22183059993,VIVO Y17 RAM 8/256 GB FULLSET BERGARANSI 12 BULAN,127799966748,Normal Product,,Handphone & Aksesoris,Handphone,,585090,1,Komisi XTRA,,526581,,0.00%,0,5.00%,26329.05,26329.05,0,26329.05,26329.05,,0,0.00%,0,100.00%,26329.05,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
250607W05NYP2V,Dibatalkan,202996623246043,2025-06-07 18:57:03,--,2025-06-07 18:55:38,GM Bear Official Shop,149205613,Shopee Mall(Non-CB),2874434234,GM Bear Panci Wajan Set isi 3pcs P0220 - Arria Panci Penggorengan Set,114878040917,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Penggorengan,109900,0,Komisi XTRA,,0,98820,0.00%,0,1.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Dibatalkan,Pembeli membatalkan pesanan.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
250607VTVSG933,Tertunda,202990956231654,2025-06-07 17:22:36,,2025-06-07 17:13:43,Bohancell,461345307,Preferred(Non-CB),22470840811,Hp Second Termurah Vivo Y66 Ram 3GB Internal 32GB Original,235929118667,Normal Product,,Handphone & Aksesoris,Handphone,,315000,1,Komisi XTRA,,283500,,1.00%,2835,2.00%,5670,8505,2835,5670,8505,,0,0.00%,0,100.00%,8505,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
250607VP89BQ78,Tertunda,202985973259327,2025-06-07 15:59:33,,2025-06-07 15:27:12,GM Bear Official Shop,149205613,Shopee Mall(Non-CB),2874434234,GM Bear Panci Wajan Set isi 3pcs P0220 - Arria Panci Penggorengan Set,170683840532,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Penggorengan,99990,1,Komisi XTRA,,94990,,0.00%,0,1.00%,949.9,949.9,0,949.9,949.9,,0,0.00%,0,100.00%,949.9,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
250607VHNEJ67X,Tertunda,202981046204240,2025-06-07 14:37:26,,2025-06-07 14:36:40,H2S Official Store,211114000,Shopee Mall(Non-CB),26384998410,Food Tray Piring 5 Sekat Stainless Steel SUS 304,253423229464,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,45000,1,Komisi XTRA,,40000,,1.00%,400,8.00%,3200,3600,400,3200,3600,,0,0.00%,0,100.00%,3600,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
